,val_accuracy,train_loss
0,0.9034167,15.311245
1,0.9410833,5.0133076
2,0.954,3.676914
3,0.96525,3.0894744
4,0.9669167,2.7110033
5,0.9713333,2.3759186
6,0.9770833,2.1628416
7,0.9798333,1.9875841
8,0.9805833,1.859849
9,0.98258334,1.7297112
10,0.98375,1.6613582
11,0.986,1.5781574
12,0.9860833,1.504275
13,0.98575,1.4353102
14,0.98541665,1.3734165
15,0.98716664,1.3110175
16,0.9870833,1.2598333
17,0.98866665,1.2206206
18,0.98983335,1.1675656
19,0.9891667,1.1375779
20,0.9889167,1.0850164
21,0.98833334,1.0680381
22,0.99025,1.0334918
23,0.99075,1.007371
24,0.98983335,0.99709916
25,0.99,0.9713927
26,0.9905,0.93361956
27,0.98933333,0.90654963
28,0.98925,0.8837292
29,0.99175,0.8823742
30,0.99116665,0.84637135
31,0.99116665,0.8115634
32,0.99125,0.8104898
33,0.99,0.7909594
34,0.991,0.7930954
35,0.9895833,0.7578815
36,0.99116665,0.75604105
37,0.9905,0.74234885
38,0.9913333,0.7119201
39,0.99125,0.7191719
40,0.9925,0.6856145
41,0.99158335,0.6730178
42,0.99058336,0.66759455
43,0.991,0.6413197
44,0.9913333,0.6527973
45,0.99058336,0.6374032
46,0.9918333,0.62299573
47,0.9913333,0.6199273
48,0.99041665,0.6168148
49,0.99225,0.60291153
